TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 02-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/01/2026 đến ngày 25/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Total
Loading S1,11,11,11,11,10,11,,10,11,11,10,10,11,,9,9,10,,,,,,,,,,,,,,,156
Loading S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Loading S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
Steaming S1,3,3,3,3,3,3,,3,3,3,3,3,2,,11,8,,,,,,,,,,,,,4,4,2,64
Steaming S2,9,6,6,6,6,5,,5,3,3,3,3,8,,,,,,,,,,,,,,,,2,2,2,69
Steaming S3,,3,3,3,3,3,,3,3,3,3,,,,,,,,,,,,,,,,,,4,4,4,39
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8
Shelling S1,21,19,20,21,19,20,,22,21,21,19,18,16,,33,36,30,,,,,,,,,,,,,17,18,371
Shelling thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Shelling S2,16,19,19,18,18,19,,20,18,17,17,18,18,,15,15,16,,,,,,,,,,,,,17,17,297
Shelling thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Shelling S3,19,19,18,19,18,19,,17,16,15,15,16,12,,,,,,,,,,,,,,,,,14,16,233
Shelling thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Maintenance shelling S1,7,6,6,5,6,1,5,7,6,7,7,6,2,,7,7,3,,,,,,,,,,,,2,2,2,94
Maintenance shelling S2,2,2,2,2,2,2,,1,1,2,2,2,2,,2,2,,,,,,,,,,,,,2,2,2,32
Maintenance shelling S3,2,2,2,2,2,2,,2,2,2,2,2,2,,,,,,,,,,,,,,,,3,3,3,33
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S1,5,6,6,6,4,6,,5,5,4,4,4,3,,7,3,4,,,,,,,,,,,,,6,5,83
Borma thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S2,4,3,4,4,4,4,,4,4,4,3,4,3,,5,5,3,,,,,,,,,,,,,3,4,65
Borma thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S3,4,4,4,4,4,4,,5,5,5,5,4,3,,,,,,,,,,,,,,,,,4,4,59
Borma thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S1,8,8,8,8,8,8,,9,9,9,8,7,7,,15,15,12,,,,,,,,,,,,,,8,147
Peeling thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S2,8,9,9,8,8,8,,8,8,8,8,7,7,,10,9,8,,,,,,,,,,,,,2,8,133
Peeling thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S3,8,8,8,8,8,8,,8,8,9,9,9,9,,,,,,,,,,,,,,,,,3,8,111
Peeling thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading - shift 1 ,23,22,22,22,20,22,,21,20,20,19,19,18,,21,21,23,,,,,,,,,,,,,,,313
Machine Grading  - thời vụ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 2,17,19,18,18,19,15,,21,21,20,19,,,,19,19,,,,,,,,,,,,,,,,225
Machine Grading  thời vụ - shift 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 3,,,,,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,39
Machine Grading  thời vụ- shift 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,40,36,,,,,,,,,,,,,,,,,,,76
Manual Grading -Shift 1 (Ms Huệ),43,42,46,47,46,47,,3,3,3,3,3,3,,44,44,39,,,,,,,,,,,,,,,416
