TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 03-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/02/2026 đến ngày 25/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,26,27,28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Total
Loading S1,11,11,10,,11,11,11,11,14,14,,14,15,15,15,15,13,,15,15,15,,,,,,,,236
Loading S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Loading S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,6,7,,,,,,,6,,,,,,,,,,,,,,19
Steaming S1,2,3,3,,3,3,4,3,4,4,,4,3,3,4,3,3,,4,2,3,,,,,,,,58
Steaming S2,3,3,3,,3,3,3,4,3,4,,3,3,3,4,4,3,,4,4,4,,,,,,,,61
Steaming S3,4,4,4,,3,3,3,3,3,3,,4,4,4,4,4,4,,3,4,,,,,,,,,61
OT,3,,,,2,1,2,2,2,1,,1,2,2,1,,,,1,1,2,,,,,,,,23
Shelling S1,19,15,15,,22,18,18,19,21,22,,20,18,20,20,19,17,,18,19,17,,,,,,,,337
Shelling thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Shelling S2,18,21,20,,15,14,16,15,15,17,,14,16,16,16,16,14,,17,17,18,,,,,,,,295
Shelling thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Shelling S3,14,16,16,,16,16,16,16,16,16,,18,18,17,19,16,18,,15,17,,,,,,,,,280
Shelling thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,4,11,11,1,8,,,13,13,6,2,1,1,,,1,8,,,,,,,,80
Maintenance shelling S1,5,5,3,,5,6,6,6,6,5,,5,5,4,5,5,4,,6,6,6,,,,,,,,93
Maintenance shelling S2,2,2,2,,2,2,3,3,3,3,,3,3,3,2,3,3,,2,2,2,,,,,,,,45
Maintenance shelling S3,3,3,3,,2,2,2,2,2,2,,3,3,3,3,3,3,,3,3,,,,,,,,,45
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S1,6,6,6,,4,4,4,4,4,3,,5,5,5,5,5,5,,5,5,5,,,,,,,,86
Borma thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S2,4,4,2,,4,4,3,4,4,5,,4,5,5,5,5,3,,4,4,5,,,,,,,,74
Borma thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
